food_id,food_name,amount,category,calories,protein,carbohydrate,sugar,fat,sodium,food_type,category_encoded,sugar_to_carb_ratio,fat_to_calorie_ratio,calories_scaled,protein_scaled,carbohydrate_scaled,sugar_scaled,fat_scaled,sodium_scaled,category_encoded_scaled,sugar_to_carb_ratio_scaled,fat_to_calorie_ratio_scaled,food_type_encoded
1,กล้วยไข่,100 g,ผลไม้,107,1.35,24.3,21.5,0.11,22,สมดุล,1,0.88477338,-0.662,0.001028037,-0.893599186,-0.8994391232071472,1.401347673,-0.846074375,-0.795074316,-0.97026571,1.558601847,-1.203554853,0
2,กล้วยน้ำว้า,100 g,ผลไม้,118,0.78,27.18,18.47,0.15,4,สมดุล,1,0.679543782,0.001271186,-0.825733297,-0.945351019,-0.111679402,1.100155243,-0.842409,-0.827129621,-0.97026571,0.997406455,-1.193503016,0
4,ขนุน,100 g,ผลไม้,101,1.55,21.73,19.17,0.42,26,สมดุล,1,0.88219052,0.004158416,-0.930616944,-0.883329707,-0.339504674,1.169737653,-0.817667716,-0.787950914,-0.97026571,1.551538315,-1.074144295,0
7,เงาะ,100 g,ผลไม้,77,0.97,17.92,0,0.14,14,สมดุล,1,0,0.001818182,-1.078687976,-0.930047058,-0.498773351,-0.735826334,-0.843325344,-0.809321118,-0.97026571,-0.860787093,-1.170890103,0
9,แตงโม,100 g,ผลไม้,37,0.81,8.07,8.15,0.07,4,สมดุล,1,1.009913258,0.001891892,-1.32547303,-0.942934604,-0.910530953,0.074311719,-0.849739751,-0.827129621,-0.97026571,1.900792586,-1.167842911,0
10,ทุเรียน,100 g,ผลไม้,140,2.26,23.81,14.75,3.34,11,สมดุล,1,0.61948761,0.023857143,-0.690001517,-0.826141224,-0.252554845,0.730374438,-0.550095311,-0.814663669,-0.97026571,0.833184525,-0.259794437,0
11,น้อยหน่า,100 g,ผลไม้,100,1.32,21.84,17.23,0.2,4,สมดุล,1,0.788919414,0.002,-0.936786571,-0.901855553,-0.334906366,0.976894975,-0.837827281,-0.827129621,-0.97026571,1.296491073,-1.163373698,0
12,มังคุด,100 g,ผลไม้,77,0.5,17.7,17.34,0.06,2,สมดุล,1,0.979661016,0.000779221,-1.078687976,-0.967904223,-0.507969967,0.987829353,-0.850656094,-0.830691322,-0.97026571,1.818068675,-1.213840988,0
15,องุ่น,100 g,ผลไม้,51,0.49,10.64,11.17,0.13,6,สมดุล,1,1.049812029,0.00254902,-1.239098261,-0.968709694,-0.803097751,0.374510115,-0.844241687,-0.82356792,-0.97026571,2.009894665,-1.140677102,0
27,น้ำเก็กฮวย,1 แก้ว / 200 ml,เครื่องดื่ม,72,0,18,15,0,10,สมดุล,4,0.833333333,0,-1.109536108,-1.008177802,-0.495429127,0.755225299,-0.856154158,-0.816444519,1.316161038,1.417939699,-1.246054153,0
28,น้ำมะนาว,1 แก้ว / 200 ml,เครื่องดื่ม,60,1,20,1.7,0.2,4.8,สมดุล,4,0.085,0.003333333,-1.183571624,-0.927630644,-0.411823522,-0.566840483,-0.837827281,-0.825704941,1.316161038,-0.62835696,-1.108253394,0
29,น้ำเสาวรส,1 แก้ว / 200 ml,เครื่องดื่ม,110,4,19,17,1.5,40,สมดุล,4,0.894736842,0.013636364,-0.875090307,-0.685989168,-0.453626324,0.954032183,-0.71870258,-0.76301901,1.316161038,1.585845884,-0.682323776,0
30,น้ำองุ่น,1 แก้ว / 200 ml,เครื่องดื่ม,142,0,36,14,0,22,สมดุล,4,0.388888889,0,-0.677662265,-1.008177802,0.257021314,0.655821856,-0.856154158,-0.795074316,1.316161038,0.202618744,-1.246054153,0
31,น้ำส้ม,1 แก้ว / 200 ml,เครื่องดื่ม,111,1.7,25,8.4,0.5,2.5,สมดุล,4,0.336,0.004504505,-0.868920681,-0.871247633,-0.202809511,0.09916258,-0.810336965,-0.829800897,1.316161038,0.05799555,-1.059836911,0
36,น้ำนมถั่วเหลือง แลคตาซอย รสหวานออริจินัล,1 กล่อง / 300 ml,เครื่องดื่ม,220,8,24,22,10,150,สมดุล,4,0.916666666,0.045454545,-0.196431411,-0.363800535,-0.244612313,1.451049394,0.060189693,-0.567125477,1.316161038,1.645812378,0.633047102,0
38,"แซนวิช, ไก่",1 ชิ้น / 100 g,ฟาสต์ฟู้ด,397,18,40,38,19,372,สมดุล,2,0.95,0.047858942,0.89559245,0.441671049,0.424232523,3.041504469,0.884899159,-0.17177671,-0.20812346,1.736961451,0.732445405,0
40,ฮอทดอก,1 ชิ้น / 50 g,ฟาสต์ฟู้ด,100,3,13,1,4,400,สมดุล,2,0.076923077,0.04,-0.936786571,-0.766536327,-0.704443138,-0.636422892,-0.489616617,-0.121912902,-0.20812346,-0.650443081,0.407554951,0
41,"แฮมเบอร์เกอร์, หมู",1  ชิ้น / 108 g,ฟาสต์ฟู้ด,266,13,31,0,10,442,สมดุล,2,0,0.037593985,0.087371401,0.038935257,0.048007303,-0.735826334,0.060189693,-0.047117189,-0.20812346,-0.860787093,0.308089742,0
42,"แฮมเบอร์เกอร์, ไก่",1  ชิ้น / 90 g,ฟาสต์ฟู้ด,294,13.29,23.07,0,15.99,515,สมดุล,2,0,0.054387755,0.260120938,0.062293933,-0.283488919,-0.735826334,0.60907966,0.082884883,-0.20812346,-0.860787093,1.002348022,0
44,"ขนมปัง, หน้าเนย",100 g,ขนม,310,7,30,2,18,420,สมดุล,0,0.066666667,0.058064516,0.358834959,-0.444347693,0.006204501,-0.53701945,0.793264774,-0.086295896,-1.732407959,-0.678488949,1.15434616,0
46,ครัวซอง,100 g,ขนม,406,8,46,11,21,467,สมดุล,0,0.239130435,0.051724138,0.951119087,-0.363800535,0.675049337,0.35761153,1.068167929,-0.002595932,-1.732407959,-0.206891578,0.892233482,0
60,ข้าวเหนียวหน้าสังขยา,100 g,ขนม,199,8.4,26.2,4.7,6.3,77.2,สมดุล,0,0.179389313,0.031658291,-0.325993564,-0.331581671,-0.152646148,-0.268630156,-0.278857531,-0.696771379,-1.732407959,-0.370252012,0.062706822,0
61,"โดนัท, โรยน้ำตาล", 100 g,ขนม,443,5.95,59.48,30.42,20.17,0,สมดุล,0,0.511432414,0.045530474,1.179395262,-0.52892221,1.238551111,2.288026377,0.99211139,-0.834253022,-1.732407959,0.537710601,0.636186007,0
62,กระเพาะปลา ,1 ถ้วย / 250 g,อาหารจานหลัก,240,8,49,2,15,1230,สมดุล,3,0.040816327,0.0625,-0.073038884,-0.363800535,0.800457743,-0.53701945,0.518361619,1.356192848,0.554018789,-0.749175984,1.337710072,0
65,ก๋วยเตี๋ยวคั่วไก่,1 ชาม / 250 g,อาหารจานหลัก,429,21,5,0,33,941,สมดุล,3,0,0.076923077,1.093020493,0.683312524,-1.038865556,-0.735826334,2.167780551,0.841527111,0.554018789,-0.860787093,1.933963355,0
66,ก๋วยเตี๋ยวต้มยำหมู,1 ชาม / 250 g,อาหารจานหลัก,506,23,54,0,22,2507,สมดุล,3,0,0.043478261,1.568081721,0.844406841,1.009471755,-0.735826334,1.159802315,3.630338682,0.554018789,-0.860787093,0.551347047,0
67,ก๋วยเตี๋ยววุ้นเส้น เย็นตาโฟ,1 ชาม / 250 g,อาหารจานหลัก,210,5.6,31.7,0,6.8,1362.5,สมดุล,3,0,0.032380952,-0.258127674,-0.557113715,0.077269264,-0.735826334,-0.233040339,1.592155513,0.554018789,-0.860787093,0.092581789,0
68,ก๋วยเตี๋ยวเส้นบะหมี่หมูแดง น้ำ,1 ชาม / 250 g,อาหารจานหลัก,170,9,21.3,0,5.5,990,สมดุล,3,0,0.032352941,-0.504912727,-0.283253376,-0.357479879,-0.735826334,-0.35216504,0.928788776,0.554018789,-0.860787093,0.091423799,0
69,ก๋วยเตี๋ยวเส้นเล็ก หมู น้ำตก,1 ชาม / 250 g,อาหารจานหลัก,202,11.53,29.1,0,4.45,1157.5,สมดุล,3,0,0.022029703,-0.307484685,-0.079469066,-0.031418021,-0.735826334,-0.448381144,1.227081201,0.554018789,-0.860787093,-0.335341218,0
71,เกาเหลาหมูตุ๋น,1 ชาม / 300 g,อาหารจานหลัก,372,21,18,14,24,299,สมดุล,3,0.777777777,0.064516129,0.741351792,0.683312524,-0.495429127,0.655821856,1.343071085,-0.301778782,0.554018789,1.266024579,1.421057306,0
74,"ขนมจีน, แกงเขียวหวานไก่",1 ชาม / 300 g,อาหารจานหลัก,355,13,7,0,30,1768,สมดุล,3,0,0.084507042,0.636468144,0.038935257,-0.955259951,-0.735826334,1.892877395,2.31429031,0.554018789,-0.860787093,2.247486208,0
75,ข้าวกล้องราดแกงคั่วสับปะรด,1 ชาม / 300 g,อาหารจานหลัก,393,10,63,0,11,0,สมดุล,3,0,0.027989822,0.870913945,-0.202706218,1.385696975,-0.735826334,0.151824079,-0.834253022,0.554018789,-0.860787093,-0.088948546,0
76,ราดหน้าหมู,1 ชาม / 300 g,อาหารจานหลัก,420,13,63,15,13,1470,สมดุล,3,0.238095238,0.030952381,1.037493856,0.038935257,1.385696975,0.755225299,0.335092849,1.78359692,0.554018789,-0.209722295,0.033524321,0
77,ข้าวขาหมู,1 จาน / 300 g,อาหารจานหลัก,470,21,75,0,9,1210,สมดุล,3,0,0.019148936,1.345975173,0.683312524,1.887330602,-0.735826334,-0.031444692,1.320575842,0.554018789,-0.860787093,-0.454432773,0
78,ข้าวคลุกกะปิ,1 จาน / 300 g,อาหารจานหลัก,540,16,70,9,22,910,สมดุล,3,0.128571429,0.040740741,1.777849016,0.280576732,1.678316591,0.158804645,1.159802315,0.786320751,0.554018789,-0.509212102,0.438177342,0
79,ข้าวผัดหมู,1 จาน / 300 g,อาหารจานหลัก,410,13,59,4,14,710,สมดุล,3,0.06779661,0.034146341,0.975797593,0.038935257,1.218485766,-0.338212566,0.426727234,0.430150691,0.554018789,-0.67539915,0.165563375,0
80,ข้าวมันไก่,1 จาน / 300 g,อาหารจานหลัก,563,34,71,6,15,2066,สมดุล,3,0.084507042,0.026642984,1.919750422,1.730425584,1.720119393,-0.139405681,0.518361619,2.844983699,0.554018789,-0.629704939,-0.14462713,0
81,ข้าวราดแกงขี้เหล็ก,1 จาน / 300 g,อาหารจานหลัก,352,12,53,0,10,1547,สมดุล,3,0,0.028409091,0.617959265,-0.041611901,0.967668952,-0.735826334,0.060189693,1.920722393,0.554018789,-0.860787093,-0.071615869,0
82,ข้าวราดแกงเขียวหวานไก่,1 จาน / 300 g,อาหารจานหลัก,340,14,63,2,4,550,สมดุล,3,0.031746032,0.011764706,0.543923749,0.119482416,1.385696975,-0.53701945,-0.489616617,0.145214643,0.554018789,-0.773978453,-0.759698534,0
94,ข้าวราดผัดกระเพราไก่,1 จาน / 300 g,อาหารจานหลัก,430,17,77,8,6,620,สมดุล,3,0.103896104,0.013953488,1.099190119,0.361123891,1.970936207,0.059401203,-0.306347847,0.269874164,0.554018789,-0.57668609,-0.669213768,0
95,ข้าวราดผัดคะน้าหมูกรอบ,1 จาน / 300 g,อาหารจานหลัก,550,11,96,6,13,890,สมดุล,3,0.0625,0.023636364,1.839545279,-0.12215906,2.76518945,-0.139405681,0.335092849,0.750703745,0.554018789,-0.689882583,-0.2689215,0
96,ข้าวราดผัดคะน้าหมูชิ้น,1 จาน / 300 g,อาหารจานหลัก,501,11,60.9,6,7.5,882,สมดุล,3,0.098522167,0.01497006,1.537233589,-0.12215906,1.29791109,-0.139405681,-0.168896269,0.736456943,0.554018789,-0.591380969,-0.62718847,0
97,ข้าวราดไก่กระเทียม,1 จาน / 300 g,อาหารจานหลัก,520,60,140,2,5,760,สมดุล,3,0.014285714,0.009615385,1.654456489,3.824651702,4.604512749,-0.53701945,-0.397982232,0.519193206,0.554018789,-0.821723205,-0.848551964,0
98,ข้าวราดผัดเต้าหู้ไข่ทรงเครื่อง,1 จาน / 300 g,อาหารจานหลัก,350,25,13,0,26,1839,สมดุล,3,0,0.074285714,0.605620013,1.005501158,-0.704443138,-0.735826334,1.526339855,2.440730681,0.554018789,-0.860787093,1.824934184,0
100,ข้าวราดผัดเผ็ดหน่อไม้ไก่,1 จาน / 300 g,อาหารจานหลัก,320,10,60,3,4,690,สมดุล,3,0.05,0.0125,0.420531223,-0.202706218,1.260288568,-0.437616008,-0.489616617,0.394533685,0.554018789,-0.724063485,-0.729301308,0
101,ข้าวราดผัดเผ็ดหอยแมลงภู่,1 จาน / 300 g,อาหารจานหลัก,424,18,64,0,11,417,สมดุล,3,0,0.025943396,1.062172361,0.441671049,1.427499777,-0.735826334,0.151824079,-0.091638447,0.554018789,-0.860787093,-0.173548248,0
103,ข้าวราดผัดมะเขือยาวกับหมูสับ,1 จาน / 300 g,อาหารจานหลัก,315,12,23,9,20,900,สมดุล,3,0.391304348,0.063492063,0.389683091,-0.041611901,-0.286415115,0.158804645,0.976533544,0.768512248,0.554018789,0.209223749,1.378722203,0
104,ข้าวราดผัดมะระกับไข่,1 จาน / 300 g,อาหารจานหลัก,341,12,11,6,28,689,สมดุล,3,0.545454545,0.082111437,0.550093376,-0.041611901,-0.788048742,-0.139405681,1.709608625,0.392752835,0.554018789,0.63074317,2.14845134,0
106,ข้าวราดยำหมูยอ,1 จาน / 300 g,อาหารจานหลัก,456,14,28,0,19,503,สมดุล,3,0,0.041666667,1.259600404,0.119482416,-0.077401104,-0.735826334,0.884899159,0.061514679,0.554018789,-0.860787093,0.476455331,0
107,ข้าวราดหมูทอดกระเทียม,1 จาน / 300 g,อาหารจานหลัก,530,26,78,8,13,620,สมดุล,3,0.102564103,0.024528302,1.716152753,1.086048316,2.012739009,0.059401203,0.335092849,0.269874164,0.554018789,-0.580328411,-0.23204857,0
108,ข้าวหมกไก่,1 จาน / 300 g,อาหารจานหลัก,560,18,84,17,17,1850,สมดุล,3,0.202380952,0.030357143,1.901241543,0.441671049,2.263555822,0.954032183,0.701630389,2.460320034,0.554018789,-0.307382014,0.008917042,0
109,ข้าวหมูแดง,1 จาน / 300 g,อาหารจานหลัก,560,20,96,16,11,1200,สมดุล,3,0.166666667,0.019642857,1.901241543,0.602765366,2.76518945,0.854628741,0.151824079,1.302767339,0.554018789,-0.405041734,-0.434013968,0
110,ข้าวหมูอบ,1 จาน / 300 g,อาหารจานหลัก,443,37,48,3,11,849,สมดุล,3,0.0625,0.0248307,1.179395262,1.972067059,0.758654941,-0.437616008,0.151824079,0.677688883,0.554018789,-0.689882583,-0.219547373,0
114,หอยทอด,1 จาน / 300 g,อาหารจานหลัก,625,19,35,0,46,1190,สมดุล,3,0,0.0736,2.302267254,0.522218208,0.215218512,-0.735826334,3.359027557,1.284958836,0.554018789,-0.860787093,1.796586599,0
115,ข้าวลาบหมู,1 จาน / 300 g,อาหารจานหลัก,380,23,61,2,5,820,สมดุล,3,0.032786885,0.013157895,0.790708803,0.844406841,1.302091371,-0.53701945,-0.397982232,0.626044224,0.554018789,-0.771132268,-0.70210379,0
119,โจ๊กหมู,1 ชาม  / 300 g,อาหารจานหลัก,157,8,20,0,5,730,สมดุล,3,0,0.031847134,-0.58511787,-0.363800535,-0.411823522,-0.735826334,-0.397982232,0.465767697,0.554018789,-0.860787093,0.070513605,0
120,โจ๊กไข่,1 ชาม  / 300 g,อาหารจานหลัก,210,4,24,2,5,910,สมดุล,3,0.083333333,0.023809524,-0.258127674,-0.685989168,-0.244612313,-0.53701945,-0.397982232,0.786320751,0.554018789,-0.632914413,-0.261763019,0
151,ชาเขียวนมสด,1 แก้ว / 350 ml,เครื่องดื่ม,244,2.92,39.65,32.07,8.27,0,สมดุล,4,0.808827238,0.033893443,-0.048360379,-0.7729801,0.409601542,2.452042057,-0.098337793,-0.834253022,1.316161038,1.350928465,0.155108479,0
152,ชาเย็น,1 แก้ว / 350 ml,เครื่องดื่ม,215,2.67,34.71,26.57,7.34,0,สมดุล,4,0.765485451,0.034139535,-0.227279542,-0.793116889,0.203095699,1.905323125,-0.183557771,-0.834253022,1.316161038,1.232411554,0.16528199,0
159,โยเกิร์ตรสธรรมชาติ - ดัชชี่,1 ถ้วย / 135 g,เครื่องดื่ม,120,3.7,14.1,10.4,3.5,0.17,สมดุล,4,0.737588652,0.029166667,-0.813394044,-0.710153316,-0.658460055,0.297969464,-0.53543381,-0.833950278,1.316161038,1.156128535,-0.040297514,0
162,ข้าวเหนียวมูล ,100 g,ขนม,281,3.1,52.2,8.1,6.3,342,สมดุล,0,0.155172414,0.022419929,0.179915796,-0.758481611,0.934226711,0.069341547,-0.278857531,-0.225202219,-1.732407959,-0.436472449,-0.319209192,0
163,เอแคลร์ ครีมนมสด,90 g,ขนม,170,0,20,9,9,0.42,สมดุล,0,0.45,0.052941176,-0.504912727,-1.008177802,-0.411823522,0.158804645,-0.031444692,-0.833505065,-1.732407959,0.369725375,0.942546132,0
166,เฟรนช์ฟรายส์,100 g,ฟาสต์ฟู้ด,311,3.4,41,0.3,15,0,สมดุล,2,0.007317073,0.048231511,0.365004586,-0.734317464,0.466035325,-0.706005302,0.518361619,-0.834253022,-0.20812346,-0.84077876,0.7478475,0
168,แซนด์วิชแฮมชีส,100 g,ฟาสต์ฟู้ด,241,14.17,22.84,0,10.6,528,สมดุล,2,0,0.043983402,-0.066869258,0.133175433,-0.293103564,-0.735826334,0.115170324,0.106035937,-0.20812346,-0.860787093,0.572229717,0
170,พิซซ่า หน้าฮาวายเอี่ยน,100 g,ฟาสต์ฟู้ด,260,13,25,3,10,460,สมดุล,2,0.12,0.038461538,0.050353643,0.038935257,-0.202809511,-0.437616008,0.060189693,-0.015061884,-0.20812346,-0.532650435,0.343954601,0
124,ผัดผักรวมมิตรกับเต้าหู้,300 g,อาหารจานหลัก,328,8.2,26.3,17,21.3,758,น้ำตาลต่ำ,3,0.646387832,0.064939024,0.469888233,-0.347691103,-0.148465868,0.954032183,1.095658245,0.515631506,0.554018789,0.906742434,1.438539896,1
3,แก้วมังกร,100 g,ผลไม้,56,1.3,10.3,9.3,0.7,4,น้ำตาลต่ำ,1,0.90291262,0.0125,-1.208250129,-0.903466496,-0.817310704,0.188625678,-0.792010088,-0.827129621,-0.97026571,1.608202323,-0.729301308,1
72,เกาเหลาลูกชิ้น,1 ชาม / 300 g,อาหารจานหลัก,200,12,1,0,17,675,น้ำตาลต่ำ,3,0,0.085,-0.319823937,-0.041611901,-1.206076765,-0.735826334,0.701630389,0.367820931,0.554018789,-0.860787093,2.267865193,1
125,แกงจืดเต้าหู้หมูสับใส่ผัก,300 g,อาหารจานหลัก,209,21.4,4,0,12,576,น้ำตาลต่ำ,3,0,0.057416268,-0.2642973,0.715531388,-1.080668358,-0.735826334,0.243458464,0.191516751,0.554018789,-0.860787093,1.127547432,1
35,น้ำนมถั่วเหลือง แลคตาซอย สูตรแคลเซียมสูง ,1 กล่อง / 300 ml,เครื่องดื่ม,170,8,18,14,7,105,น้ำตาลต่ำ,4,0.777777777,0.041176471,-0.504912727,-0.363800535,-0.495429127,0.655821856,-0.214713462,-0.647263741,1.316161038,1.266024579,0.456190513,1
122,ผัดผักคะน้าใส่หมู,300 g,อาหารจานหลัก,316,21.3,12.6,0,20.26,1294,น้ำตาลต่ำ,3,0,0.064113924,0.395852717,0.707476672,-0.721164259,-0.735826334,1.000358484,1.470167267,0.554018789,-0.860787093,1.40443006,1
20,ส้มเขียวหวาน,100 g,ผลไม้,45,1,9.9,11.34,0.2,33,น้ำตาลต่ำ,1,1.145454544,0.004444444,-1.276116019,-0.927630644,-0.834031825,0.3914087,-0.837827281,-0.775484962,-0.97026571,2.271426459,-1.062319808,1
22,สับปะรด,100 g,ผลไม้,61,0.4,14.7,11.11,0.1,5,น้ำตาลต่ำ,1,0.755782312,0.001639344,-1.177401998,-0.975958939,-0.633378374,0.368545908,-0.846990719,-0.825348771,-0.97026571,1.205878593,-1.178283288,1
13,ส้ม,100 g,ผลไม้,46,0.7,9.04,10.67,0.12,3,น้ำตาลต่ำ,1,1.180309733,0.002608696,-1.269946393,-0.951794791,-0.869982235,0.324808394,-0.845158031,-0.828910471,-0.97026571,2.366737003,-1.138210081,1
22,สับปะรด,100 g,ผลไม้,61,0.4,14.7,11.11,0.1,5,น้ำตาลต่ำ,1,0.755782312,0.001639344,-1.177401998,-0.975958939,-0.633378374,0.368545908,-0.846990719,-0.825348771,-0.97026571,1.205878593,-1.178283288,1
18,เชอรี่ ,100 g,ผลไม้,31,0.4,7,7.36,0.3,7,น้ำตาลต่ำ,1,1.05142857,0.009677419,-1.362490788,-0.975958939,-0.955259951,-0.004217,-0.828663842,-0.82178707,-0.97026571,2.014315051,-0.845987434,1
127,แกงป่าไก่,300 g,อาหารจานหลัก,252,15.3,16.4,0.61,13.9,1124,น้ำตาลต่ำ,3,0.037195122,0.05515873,0.000996632,0.224193722,-0.56231361,-0.675190235,0.417563795,1.167422716,0.554018789,-0.759078068,1.034220306,1
121,แกงส้มผักรวมปลา,300 g,อาหารจานหลัก,111,11.6,13.81,8.7,1.06,1255,น้ำตาลต่ำ,3,0.629978276,0.00954955,-0.868920681,-0.073830765,-0.670582868,0.128983613,-0.759021709,1.400714105,0.554018789,0.861870959,-0.851273601,1
129,แกงคั่วหมูเทโพ,300 g,อาหารจานหลัก,462,25.7,31.7,0.8,26.8,2259,น้ำตาลต่ำ,3,0.025236593,0.058008658,1.296618162,1.061884169,0.077269264,-0.656303581,1.599647363,3.188687807,0.554018789,-0.791778332,1.152036972,1
122,ผัดผักคะน้าใส่หมู,300 g,อาหารจานหลัก,316,21.3,12.6,0,20.26,1294,น้ำตาลต่ำ,3,0,0.064113924,0.395852717,0.707476672,-0.721164259,-0.735826334,1.000358484,1.470167267,0.554018789,-0.860787093,1.40443006,1
13,ส้ม,100 g,ผลไม้,46,0.7,9.04,10.67,0.12,3,น้ำตาลต่ำ,1,1.180309733,0.002608696,-1.269946393,-0.951794791,-0.869982235,0.324808394,-0.845158031,-0.828910471,-0.97026571,2.366737003,-1.138210081,1
128,แกงเลียงผักรวม,300 g,อาหารจานหลัก,135,14.3,16,2,1.1,1175,น้ำตาลต่ำ,3,0.125,0.008148148,-0.720849649,0.143646563,-0.579034731,-0.53701945,-0.755356334,1.258246081,0.554018789,-0.518978074,-0.909207854,1
70,ก๋วยเตี๋ยวหลอด,1 จาน / 300 g,อาหารจานหลัก,225,8,30,0,10,500,น้ำตาลต่ำ,3,0,0.044444444,-0.165583279,-0.363800535,0.006204501,-0.735826334,0.060189693,0.056172128,0.554018789,-0.860787093,0.591289296,1
26,กาแฟดำ,1 ถ้วย / 180 ml,เครื่องดื่ม,10,0.43,1.66,0,0.19,0,น้ำตาลต่ำ,4,0,0.019,-1.492052941,-0.973542524,-1.178486915,-0.735826334,-0.838743624,-0.834253022,1.316161038,-0.860787093,-0.460589829,1
167,นักเก็ตไก่,100 g,ฟาสต์ฟู้ด,295,15,14,0,20,557,น้ำตาลต่ำ,2,0,0.06779661,0.266290564,0.200029574,-0.662640336,-0.735826334,0.976533544,0.157680595,-0.20812346,-0.860787093,1.556673142,1
